codigoParadero,latitud,longitud
PA1,-33.440069,-70.6800565
PA10,-33.466731,-70.6716337
PA100,-33.4740559,-70.6420053
PA101,-33.471829,-70.6420527
PA102,-33.4684866,-70.6422674
PA103,-33.4649037,-70.6424545
PA104,-33.4608839,-70.6429209
PA105,-33.4576548,-70.6433403
PA106,-33.4521384,-70.6440338
PA107,-33.4497987,-70.6444323
PA108,-33.4468754,-70.6450263
PA109,-33.4431837,-70.6460978
PA11,-33.4627358,-70.6725411
PA112,-33.4361011,-70.647294
PA114,-33.4395456,-70.6467437
PA115,-33.4431772,-70.6459562
PA116,-33.4441311,-70.643102
PA117,-33.4467514,-70.6424144
PA118,-33.4497858,-70.6417078
PA119,-33.4524898,-70.6407725
PA12,-33.4587879,-70.6734904
PA120,-33.4542528,-70.6404173
PA121,-33.4571805,-70.6397003
PA122,-33.460358,-70.6388713
PA123,-33.4623118,-70.6383629
PA124,-33.4659304,-70.6374074
PA125,-33.4684005,-70.6367295
PA126,-33.4722468,-70.6356477
PA127,-33.4723701,-70.6328638
PA128,-33.4684255,-70.633902
PA129,-33.4660853,-70.6345364
PA13,-33.4561151,-70.6740701
PA130,-33.4633601,-70.6352779
PA131,-33.4602782,-70.6361318
PA132,-33.457426,-70.6367301
PA133,-33.4548565,-70.6373756
PA134,-33.4522727,-70.6379206
PA135,-33.4493828,-70.6389
PA136,-33.4460047,-70.6400533
PA137,-33.446227,-70.6437903
PA138,-33.4436071,-70.6458592
PA139,-33.4516534,-70.6468324
PA14,-33.4529046,-70.6748786
PA140,-33.4546592,-70.6463936
PA141,-33.4583852,-70.6454952
PA142,-33.4613797,-70.6450132
PA143,-33.464931,-70.6445818
PA144,-33.4701911,-70.644007
PA145,-33.4728685,-70.6438583
PA146,-33.4750189,-70.6418997
PA147,-33.4724451,-70.642034
PA148,-33.4693556,-70.6421965
PA149,-33.4656284,-70.6423782
PA15,-33.4506749,-70.675426
PA150,-33.4615694,-70.6428194
PA151,-33.4586691,-70.643176
PA152,-33.453837,-70.643691
PA153,-33.450968,-70.6443011
PA154,-33.4477397,-70.6448609
PA155,-33.4394036,-70.644247
PA156,-33.4418486,-70.6464037
PA158,-33.4331343,-70.6525952
PA159,-33.4373233,-70.6471283
PA16,-33.4505056,-70.678528
PA160,-33.4348281,-70.6474834
PA161,-33.4332794,-70.6484339
PA163,-33.4489676,-70.6710479
PA164,-33.4478677,-70.6668744
PA165,-33.4467011,-70.6611823
PA166,-33.4459892,-70.658003
PA167,-33.4441324,-70.6509935
PA168,-33.4425466,-70.6445091
PA169,-33.4404842,-70.6406795
PA17,-33.472578,-70.6550336
PA170,-33.4381931,-70.6362981
PA171,-33.4402055,-70.6346617
PA172,-33.4429392,-70.6336503
PA174,-33.4480402,-70.6321335
PA176,-33.4527072,-70.6307429
PA177,-33.4551639,-70.6300732
PA179,-33.4616579,-70.6281039
PA18,-33.4705944,-70.6559133
PA181,-33.4669286,-70.6266228
PA182,-33.4425812,-70.646022
PA183,-33.4437562,-70.6511197
PA184,-33.444601,-70.6551997
PA185,-33.4459781,-70.6610853
PA186,-33.4485538,-70.6711932
PA187,-33.4474242,-70.667003
PA19,-33.4702628,-70.6524778
PA190,-33.4379754,-70.6603612
PA191,-33.4414517,-70.6800866
PA195,-33.43684,-70.6486449
PA196,-33.449545,-70.653354
PA197,-33.4519282,-70.6530064
PA198,-33.4494724,-70.6506851
PA199,-33.45381,-70.634035
PA2,-33.4480727,-70.6781611
PA20,-33.466799,-70.6525039
PA200,-33.4560469,-70.6316304
PA202,-33.465207,-70.630648
PA203,-33.465743,-70.6344982
PA204,-33.4661376,-70.6380573
PA205,-33.4665662,-70.6421217
PA206,-33.464133,-70.641072
PA207,-33.4636777,-70.6381298
PA208,-33.463361,-70.635529
PA209,-33.462746,-70.63182
PA21,-33.4643426,-70.6528073
PA210,-33.461984,-70.628154
PA212,-33.447766,-70.6540749
PA213,-33.4469608,-70.6551065
PA214,-33.4318842,-70.6572937
PA215,-33.4451536,-70.654641
PA218,-33.442594,-70.6560105
PA219,-33.4403871,-70.6564702
PA22,-33.4626928,-70.6530139
PA220,-33.4369856,-70.6569591
PA221,-33.4335811,-70.6530993
PA222,-33.4356551,-70.6784503
PA223,-33.4351245,-70.6741103
PA224,-33.435055,-70.6712714
PA225,-33.4349421,-70.6681264
PA226,-33.4347363,-70.6633428
PA228,-33.4355474,-70.6606742
PA229,-33.4368723,-70.6605112
PA23,-33.4587601,-70.6535142
PA230,-33.4409305,-70.6603799
PA231,-33.4443684,-70.6610948
PA232,-33.446962,-70.6607139
PA233,-33.4487239,-70.6602459
PA234,-33.460994,-70.6571931
PA235,-33.4672251,-70.6560602
PA236,-33.464841,-70.6561809
PA237,-33.4630265,-70.656272
PA238,-33.4608353,-70.6563772
PA239,-33.4568085,-70.6566076
PA24,-33.4561211,-70.6538231
PA240,-33.4548027,-70.657468
PA241,-33.4498733,-70.6590258
PA243,-33.4394901,-70.6593384
PA244,-33.4385649,-70.6594548
PA245,-33.4360819,-70.6597361
PA247,-33.4361634,-70.6642652
